Symbol,Name,HGNC_ID,Evidence,Test method,Test in,Test setting,Pathway,Confidence,Caution,Protein encoded,UniProtKB,PMID,Remark
SLC7A11,Solute carrier family 7 member 11,HGNC:11059,"Silencing of SLC7A11 sensitized HT-1080 cells to erastin-induced death, whereas transfection of HT-1080 cells with a plasmid encoding SLC7A11 conferred protection from erastin- and sulfasalazine-induced death.","RT-qPCR, siRNA, gene transfection, cell viability",Human,HT-1080 cells,"SLC7A11 :+: Cystine, Cystine :-: Ferroptosis",Validated,_NA_,Cystine/glutamate transporter,Q9UPY5 (XCT_HUMAN),22632970,_NA_
GPX4,Glutathione peroxidase 4,HGNC:4556,RNAi-mediated GPX4 knockdown induces ferroptosis.,"Affinity-based chemoproteomics, western blotting, and RNAi","Human, mice","HRAS mutant BJeLR-engineered tumor cells, HT-1080 cells, xenograft mouse model (athymic nude mice injected with four million HT-1080 cells)","GPX4 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),24439385,_NA_
AKR1C1,Aldo-keto reductase family 1 member C1,HGNC:384,Up-regulated in DU-145 erastin-resistant clones. Participate in the detoxification of toxic lipid metabolites. May confer partial resistance to erastin by enhancing the detoxification of reactive aldehydes generated downstream of the oxidative destruction of the plasma membrane during ferroptosis.,"RNA-seq, glutamate release assay, cell growth, flow cytometry",Human,DU-145 prostate cancer cells,AKR1C1 :-: Ferroptosis,Validated,_NA_,Aldo-keto reductase family 1 member C1,Q04828 (AK1C1_HUMAN),24844246,_NA_
AKR1C2,Aldo-keto reductase family 1 member C2,HGNC:385,Up-regulated in DU-145 erastin-resistant clones. Participate in the detoxification of toxic lipid metabolites. May confer partial resistance to erastin by enhancing the detoxification of reactive aldehydes generated downstream of the oxidative destruction of the plasma membrane during ferroptosis.,"RNA-seq, glutamate release assay, cell growth, flow cytometry",Human,DU-145 prostate cancer cells,AKR1C2 :-: Ferroptosis,Validated,_NA_,Aldo-keto reductase family 1 member C2,P52895 (AK1C2_HUMAN),24844246,_NA_
AKR1C3,Aldo-keto reductase family 1 member C3,HGNC:386,Up-regulated in DU-145 erastin-resistant clones. Participate in the detoxification of toxic lipid metabolites. May confer partial resistance to erastin by enhancing the detoxification of reactive aldehydes generated downstream of the oxidative destruction of the plasma membrane during ferroptosis.,"RNA-seq, glutamate release assay, cell growth, flow cytometry",Human,DU-145 prostate cancer cells,AKR1C3 :-: Ferroptosis,Validated,_NA_,Aldo-keto reductase family 1 member C3,P42330 (AK1C3_HUMAN),24844246,_NA_
GPX4,Glutathione peroxidase 4,HGNC:4556,Knockout of glutathione peroxidase 4 (Gpx4) causes cell death in a pathologically relevant form of ferroptosis. Knockdown renders cells more sensitive to ferroptosis-inducing agents.,"Cell viability assessment, siRNA","Human, mice","Mouse embryonic fibroblast (MEF) cells (Pfa1 cells), Gpx4−/− cells and mice, HK-2 cells","GPX4 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),25402683,_NA_
RB1,RB transcriptional corepressor 1,HGNC:9884,Rb knock-down cells exposed to sorafenib encounter ferroptosis. Lack of Rb sensitized HCC cells to the induction of ferroptosis.,"RNA interference, cell viability assay, oxidative stress measurement","Human, mice",HCC cell lines Huh7 and PLC/PRF5; Balb/c nude mice received tumour xenografts derived from HCC cells.,RB1 :-: Ferroptosis,Validated,_NA_,Retinoblastoma-associated protein,P06400 (RB_HUMAN),25444922,_NA_
HSPB1,Heat shock protein family B (small) member 1,HGNC:5246,"Knockdown of HSF1 and HSPB1 enhances erastin-induced ferroptosis, whereas heat shock pretreatment and overexpression of HSPB1 inhibits erastin-induced ferroptosis.","RNAi, RT-qPCR, western blot, cell viability","Human, mice","HeLa and U2OS cells, human xenograft mouse tumor derived from HeLa (#CCL-2) cells.",HSPB1 :-: Ferroptosis,Validated,_NA_,Heat shock protein beta-1,P04792 (HSPB1_HUMAN),25728673,_NA_
HSF1,Heat shock transcription factor 1,HGNC:5224,"Knockdown of HSF1 and HSPB1 enhances erastin-induced ferroptosis, whereas heat shock pretreatment and overexpression of HSPB1 inhibits erastin-induced ferroptosis.","RNAi, RT-qPCR, western blot, cell viability","Human, mice","HeLa and U2OS cells, human xenograft mouse tumor derived from HeLa (#CCL-2) cells.",HSF1 :-: Ferroptosis,Validated,_NA_,Heat shock factor protein 1,Q00613 (HSF1_HUMAN),25728673,_NA_
SLC7A11,Solute carrier family 7 member 11,HGNC:11059,Overexpressed in human cancer specimens. Overexpression inhibits ROS-induced ferroptosis.,"Western blot, cell death test, ChIP assay, RT-PCR, immunofluorescence staining, colony formation assay, TUNEL and BrdU assay","Human, mice","H1299 cells, mouse embryonic fibroblasts, transgenic mice; colon, liver and kidney tumour samples; mouse xenograft","SLC7A11 :+: Cystine, Cystine :-: Ferroptosis",Validated,_NA_,Cystine/glutamate transporter,Q9UPY5 (XCT_HUMAN),25799988,_NA_
