Symbol,Name,HGNC_ID,Evidence,Test method,Test in,Test setting,Confidence,Caution,Protein encoded,UniProtKB,PMID,Remark
PTGS2,Prostaglandin-endoperoxide synthase 2,HGNC:9605,"Simply a downstream marker of ferroptosis. The most upregulated gene in BJeLR cells upon treatment with either erastin or (1S, 3R)-RSL3, but ferroptotic cell death was not affected by inhibition of the enzyme.","RT-qPCR, cell viability",Human,BJeLR cells,Validated,_NA_,Prostaglandin G/H synthase 2,P35354 (PGH2_HUMAN),24439385,May promote ferroptosis.
DUSP1,Dual specificity phosphatase 1,HGNC:3064,Expression was upregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,Dual specificity protein phosphatase 1,P28562 (DUS1_HUMAN),24439385,May promote ferroptosis.
NOS2,Nitric oxide synthase 2,HGNC:7873,Expression was upregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,Nitric oxide synthase,P35228 (NOS2_HUMAN),24439385,May promote ferroptosis.
NCF2,Neutrophil cytosolic factor 2,HGNC:7661,Expression was upregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,Neutrophil cytosol factor 2,P19878 (NCF2_HUMAN),24439385,May promote ferroptosis.
MT3,Metallothionein 3,HGNC:7408,Expression was upregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,Metallothionein-3,P25713 (MT3_HUMAN),24439385,May promote ferroptosis.
UBC,Ubiquitin C,HGNC:12468,Expression was upregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,Polyubiquitin-C,P0CG48 (UBC_HUMAN),24439385,May promote ferroptosis.
ALB,Albumin,HGNC:399,Expression was upregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,Serum albumin,P02768 (ALBU_HUMAN),24439385,May promote ferroptosis.
TXNRD1,Thioredoxin reductase 1,HGNC:12437,Expression was upregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,Thioredoxin reductase 1,Q16881 (TRXR1_HUMAN),24439385,May promote ferroptosis.
SRXN1,Sulfiredoxin 1,HGNC:16132,Expression was upregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,Sulfiredoxin-1,Q9BYN0 (SRXN1_HUMAN),24439385,May promote ferroptosis.
GPX2,Glutathione peroxidase 2,HGNC:4554,Expression was upregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,Glutathione peroxidase 2,P18283 (GPX2_HUMAN),24439385,May promote ferroptosis.
BNIP3,BCL2 interacting protein 3,HGNC:1084,Expression was upregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,Q12983 (BNIP3_HUMAN),24439385,May promote ferroptosis.
OXSR1,Oxidative stress responsive kinase 1,HGNC:8508,Expression was upregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,Serine/threonine-protein kinase OSR1,O95747 (OXSR1_HUMAN),24439385,May promote ferroptosis.
SELENOS,Selenoprotein S,HGNC:30396,Expression was upregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,Selenoprotein S,Q9BQE4 (SELS_HUMAN),24439385,SELS in article. May promote ferroptosis.
ANGPTL7,Angiopoietin like 7,HGNC:24078,Expression was downregulated during ferroptosis induced by erastin or RSL3.,"RT-qPCR, cell viability",Human,BJeLR cells,Deduced,Inferred as ferroptotic marker because of change (|delta ct| > 2) in gene expression.,Angiopoietin-related protein 7,O43827 (ANGL7_HUMAN),24439385,May promote ferroptosis.
CHAC1,ChaC glutathione specific gamma-glutamylcyclotransferase 1,HGNC:28680,Up-regulated in erastin-treated samples.  A useful pharmacodynamic marker of system Xc- inhibition.,"RNA-seq, RT-qPCR",Human,HT-1080 and Calu-1 cells,Validated,Further study needed to confirm connection to ferroptosis.,Glutathione-specific gamma-glutamylcyclotransferase 1,Q9BUX1 (CHAC1_HUMAN),24844246,_NA_
SLC7A11,Solute carrier family 7 member 11,HGNC:11059,"Similar to erastin treatment, silencing of this gene inhibits glutamate release. Erastin specifically inhibits SLC7A11-dependent system Xc- function.","RNA silencing, RT-qPCR",Human,HT-1080 cells,Deduced,Further study needed to confirm connection to ferroptosis.,Cystine/glutamate transporter,Q9UPY5 (XCT_HUMAN),24844246,May inhibit ferroptosis.
DDIT4,DNA damage inducible transcript 4,HGNC:24944,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,DNA damage-inducible transcript 4 protein,Q9NX09 (DDIT4_HUMAN),24844246,May promote ferroptosis.
LOC284561,_NA_,_NA_,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,_NA_,_NA_,24844246,Not found in HGNC. May promote ferroptosis.
ASNS,Asparagine synthetase (glutamine-hydrolyzing),HGNC:753,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Asparagine synthetase [glutamine-hydrolyzing],P08243 (ASNS_HUMAN),24844246,May promote ferroptosis.
TSC22D3,TSC22 domain family member 3,HGNC:3051,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,TSC22 domain family protein 3,Q99576 (T22D3_HUMAN),24844246,May promote ferroptosis.
DDIT3,DNA damage inducible transcript 3,HGNC:2726,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,DDIT3 upstream open reading frame protein,P0DPQ6 (DT3UO_HUMAN),24844246,May promote ferroptosis.
JDP2,Jun dimerization protein 2,HGNC:17546,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Jun dimerization protein 2,Q8WYK2 (JDP2_HUMAN),24844246,May promote ferroptosis.
SESN2,Sestrin 2,HGNC:20746,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Sestrin-2,P58004 (SESN2_HUMAN),24844246,May promote ferroptosis.
SLC1A4,Solute carrier family 1 member 4,HGNC:10942,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Neutral amino acid transporter A,P43007 (SATT_HUMAN),24844246,May promote ferroptosis.
PCK2,"Phosphoenolpyruvate carboxykinase 2, mitochondrial",HGNC:8725,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Phosphoenolpyruvate carboxykinase [GTP],Q16822 (PCKGM_HUMAN),24844246,May promote ferroptosis.
TXNIP,Thioredoxin interacting protein,HGNC:16952,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Thioredoxin-interacting protein,Q9H3M7 (TXNIP_HUMAN),24844246,May promote ferroptosis.
VLDLR,Very low density lipoprotein receptor,HGNC:12698,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Very low-density lipoprotein receptor,P98155 (VLDLR_HUMAN),24844246,May promote ferroptosis.
GPT2,Glutamic--pyruvic transaminase 2,HGNC:18062,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Alanine aminotransferase 2,Q8TD30 (ALAT2_HUMAN),24844246,May promote ferroptosis.
PSAT1,Phosphoserine aminotransferase 1,HGNC:19129,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Phosphoserine aminotransferase,Q9Y617 (SERC_HUMAN),24844246,May promote ferroptosis.
LURAP1L,Leucine rich adaptor protein 1 like,HGNC:31452,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Leucine rich adaptor protein 1-like,Q8IV03 (LUR1L_HUMAN),24844246,C9ORF150 in article. May promote ferroptosis.
SLC7A5,Solute carrier family 7 member 5,HGNC:11063,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Large neutral amino acids transporter small subunit 1,Q01650 (LAT1_HUMAN),24844246,May promote ferroptosis.
HERPUD1,Homocysteine inducible ER protein with ubiquitin like domain 1,HGNC:13744,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein,Q15011 (HERP1_HUMAN),24844246,May promote ferroptosis.
XBP1,X-box binding protein 1,HGNC:12801,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,X-box-binding protein 1,P17861 (XBP1_HUMAN),24844246,May promote ferroptosis.
ATF3,Activating transcription factor 3,HGNC:785,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Cyclic AMP-dependent transcription factor ATF-3,P18847 (ATF3_HUMAN),24844246,May promote ferroptosis.
SLC3A2,Solute carrier family 3 member 2,HGNC:11026,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,4F2 cell-surface antigen heavy chain,P08195 (4F2_HUMAN),24844246,May promote ferroptosis.
CBS,Cystathionine beta-synthase,HGNC:1550,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Cystathionine beta-synthase,P35520 (CBS_HUMAN),24844246,May promote ferroptosis.
ATF4,Activating transcription factor 4,HGNC:786,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Cyclic AMP-dependent transcription factor ATF-4,P18848 (ATF4_HUMAN),24844246,May promote ferroptosis.
ZNF419,Zinc finger protein 419,HGNC:20648,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Zinc finger protein 419,Q96HQ0 (ZN419_HUMAN),24844246,May promote ferroptosis.
KLHL24,Kelch like family member 24,HGNC:25947,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Kelch-like protein 24,Q6TFL4 (KLH24_HUMAN),24844246,May promote ferroptosis.
TRIB3,Tribbles pseudokinase 3,HGNC:16228,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Tribbles homolog 3,Q96RU7 (TRIB3_HUMAN),24844246,May promote ferroptosis.
ZFP69B,ZFP69 zinc finger protein B,HGNC:28053,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Zinc finger protein 69 homolog B,Q9UJL9 (ZF69B_HUMAN),24844246,ZNF643 in article. May promote ferroptosis.
ATP6V1G2,ATPase H+ transporting V1 subunit G2,HGNC:862,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,V-type proton ATPase subunit G 2,O95670 (VATG2_HUMAN),24844246,May promote ferroptosis.
