Symbol,Name,HGNC_ID,Evidence,Test method,Test in,Test setting,Pathway,Confidence,Caution,Protein encoded,UniProtKB,PMID,Remark
RPL8,Ribosomal protein L8,HGNC:10368,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,"shRNA screening, qPCR, gene silencing",Human,NRAS mutant HT-1080 fibrosarcoma cells; KRAS mutant Calu-1 non small cell lung cancer cell,RPL8 :+: Ferroptosis,Validated,_NA_,60S ribosomal protein L8,P62917 (RL8_HUMAN),22632970,_NA_
IREB2,Iron response element binding protein 2,HGNC:6115,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,"shRNA screening, qPCR, gene silencing",Human,NRAS mutant HT-1080 fibrosarcoma cells; KRAS mutant Calu-1 non small cell lung cancer cell,IREB2 :+: Ferroptosis,Validated,_NA_,Iron-responsive element-binding protein 2,P48200 (IREB2_HUMAN),22632970,_NA_
ATP5MC3,ATP synthase membrane subunit c locus 3,HGNC:843,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,"shRNA screening, qPCR, gene silencing",Human,NRAS mutant HT-1080 fibrosarcoma cells; KRAS mutant Calu-1 non small cell lung cancer cell,ATP5MC3 :+: Ferroptosis,Validated,_NA_,ATP synthase F(0) complex subunit C3,P48201 (AT5G3_HUMAN),22632970,ATP5G3 in article
CS,Citrate synthase,HGNC:2422,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,"shRNA screening, qPCR, gene silencing",Human,NRAS mutant HT-1080 fibrosarcoma cells; KRAS mutant Calu-1 non small cell lung cancer cell,CS :+: Ferroptosis,Validated,_NA_,Citrate synthase,O75390 (CISY_HUMAN),22632970,_NA_
EMC2,ER membrane protein complex subunit 2,HGNC:28963,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,"shRNA screening, qPCR, gene silencing",Human,NRAS mutant HT-1080 fibrosarcoma cells; KRAS mutant Calu-1 non small cell lung cancer cell,EMC2 :+: Ferroptosis,Validated,_NA_,ER membrane protein complex subunit 2,Q15006 (EMC2_HUMAN),22632970,TTC35 in article
ACSF2,Acyl-CoA synthetase family member 2,HGNC:26101,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,"shRNA screening, qPCR, gene silencing",Human,NRAS mutant HT-1080 fibrosarcoma cells; KRAS mutant Calu-1 non small cell lung cancer cell,ACSF2 :+: Ferroptosis,Validated,_NA_,Medium-chain acyl-CoA ligase ACSF2,Q96CM8 (ACSF2_HUMAN),22632970,_NA_
NOX1,Nicotinamide adenine dinucleotide phosphate (NADPH) oxidase (NOX) 1,HGNC:7889,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Inhibition test by diphenylene iodonium (DPI) and GKT137831.,Human,KRAS mutant Calu-1 non small cell lung cancer cell,NOX1 :+: Ferroptosis,Deduced,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,NADPH oxidase 1,Q9Y5S8 (NOX1_HUMAN),22632970,_NA_
CYBB,Cytochrome b-245 beta chain,HGNC:2578,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Inhibition test by diphenylene iodonium (DPI).,Human,KRAS mutant Calu-1 non small cell lung cancer cell,CYBB :+: Ferroptosis,Deduced,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Cytochrome b-245 heavy chain,P04839 (CY24B_HUMAN),22632970,NOX2 in article
NOX3,Nicotinamide adenine dinucleotide phosphate (NADPH) oxidase (NOX) 3,HGNC:7890,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Inhibition test by diphenylene iodonium (DPI).,Human,KRAS mutant Calu-1 non small cell lung cancer cell,NOX3 :+: Ferroptosis,Deduced,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,NADPH oxidase 3,Q9HBY0 (NOX3_HUMAN),22632970,_NA_
NOX4,Nicotinamide adenine dinucleotide phosphate (NADPH) oxidase (NOX) 4,HGNC:7891,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Inhibition test by diphenylene iodonium (DPI) and GKT137831.,Human,KRAS mutant Calu-1 non small cell lung cancer cell,NOX4 :+: Ferroptosis,Deduced,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,NADPH oxidase 4,Q9NPH5 (NOX4_HUMAN),22632970,_NA_
NOX5,Nicotinamide adenine dinucleotide phosphate (NADPH) oxidase (NOX) 5,HGNC:14874,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Inhibition test by diphenylene iodonium (DPI).,Human,KRAS mutant Calu-1 non small cell lung cancer cell,NOX5 :+: Ferroptosis,Deduced,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,NADPH oxidase 5,Q96PH1 (NOX5_HUMAN),22632970,_NA_
DUOX1,Dual oxidase 1,HGNC:3062,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Inhibition test by diphenylene iodonium (DPI).,Human,KRAS mutant Calu-1 non small cell lung cancer cell,DUOX1 :+: Ferroptosis,Deduced,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Dual oxidase 1,Q9NRD9 (DUOX1_HUMAN),22632970,_NA_
DUOX2,Dual oxidase 2,HGNC:13273,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Inhibition test by diphenylene iodonium (DPI).,Human,KRAS mutant Calu-1 non small cell lung cancer cell,DUOX2 :+: Ferroptosis,Deduced,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Dual oxidase 2,Q9NRD8 (DUOX2_HUMAN),22632970,_NA_
G6PD,Glucose-6-phosphate dehydrogenase,HGNC:4057,Required in erastin-induced ferroptosis.,"shRNA silencing, RT-qPCR",Human,KRAS mutant Calu-1 non small cell lung cancer cell,G6PD :+: Ferroptosis,Validated,_NA_,Glucose-6-phosphate 1-dehydrogenase,P11413 (G6PD_HUMAN),22632970,_NA_
PGD,Phosphoglycerate dehydrogenase,HGNC:8891,Required in erastin-induced ferroptosis.,"shRNA silencing, RT-qPCR",Human,KRAS mutant Calu-1 non small cell lung cancer cell,PGD :+: Ferroptosis,Validated,_NA_,6-phosphogluconate dehydrogenase,P52209 (6PGD_HUMAN),22632970,_NA_
VDAC2,Valtage-dependent anion channels 2,HGNC:12672,Required in erastin-induced ferroptosis.,"shRNA silencing, RT-qPCR",Human,KRAS mutant Calu-1 non small cell lung cancer cell,VDAC2 :+: Ferroptosis,Validated,_NA_,Voltage-dependent anion-selective channel protein 2,P45880 (VDAC2_HUMAN),22632970,_NA_
PIK3CA,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",HGNC:8975,Inhibitor blocked ferroptotic cell death.,Cell survival assays,Mice,HT22 cells,"PIK3CA :-: GSH, GSH :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,Also involved in necrosis and apoptosis.,Phosphatidylinositol 4,P42336 (PK3CA_HUMAN),24739485,PI3Kalpha in article
FLT3,Fms related tyrosine kinase 3,HGNC:3765,Inhibitor blocked ferroptotic cell death.,Cell survival assays,Mice,HT22 cells,"FLT3 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,Also involved in necrosis and apoptosis.,Receptor-type tyrosine-protein kinase FLT3,P36888 (FLT3_HUMAN),24739485,_NA_
SCP2,Sterol carrier protein 2,HGNC:10606,"SCP-2 inhibitors showed anti-ferroptotic activity, which was substantiated by knocking down SCP-2 in Gpx4−/− cells.","Cell viability test, siRNA-mediated knockdown.",Mice,PZL cells,SCP2 :+: Ferroptosis,Validated,Transient effect. Other translocases may work in parallel.,Non-specific lipid-transfer protein,P22307 (NLTP_HUMAN),25402683,_NA_
TP53,Tumor protein p53,HGNC:11998,Inhibits cystine uptake and sensitizes cells to ferroptosis. Erastin induced high levels of cell death in p53+/+ MEFs.,"Cell death kinetics, shRNA, western blotting, RT-PCR, ChIP assay, cystine uptake assay","Human, mice","H1299, U2OS and MCF7 cells, mouse embryonic fibroblasts","TP53 :-: SLC7A11, SLC7A11 :+: Cystine, Cystine :-: Ferroptosis",Validated,The acetylation-defective mutant (p53[3KR]) also retains the ability to induce ferroptosis upon reactive oxygen species (ROS)-induced stress.,Cellular tumor antigen p53,P04637 (P53_HUMAN),25799988,_NA_
ACSL4,Acyl-CoA synthetase long chain family member 4,HGNC:3571,Deletion of this gene likely suppress ferroptosis by limiting the membrane-resident pool of oxidation-sensitive fatty acids.,Retroviral-mediated insertional mutagenesis and sequencing,Human,Chronic myeloid leukemia cell line KBM7,ACSL4 :+: Ferroptosis,Predicted,Author prediction based on gene function.,Long-chain-fatty-acid--CoA ligase 4,O60488 (ACSL4_HUMAN),25965523,_NA_
LPCAT3,Lysophosphatidylcholine acyltransferase 3,HGNC:30244,Deletion of this gene likely suppress ferroptosis by limiting the membrane-resident pool of oxidation-sensitive fatty acids.,Retroviral-mediated insertional mutagenesis and sequencing,Human,Chronic myeloid leukemia cell line KBM7,LPCAT3 :+: Ferroptosis,Predicted,Author prediction based on gene function.,Lysophospholipid acyltransferase 5,Q6P1A2 (MBOA5_HUMAN),25965523,_NA_
NRAS,"NRAS proto-oncogene, GTPase",HGNC:7989,NRAS12V mutant protects RMS13 cells from ferroptotic cell death.,"Cell viability assessed by MTT assay, western blot",Human,RMS13 cells,NRAS :+: Ferroptosis,Deduced,Inferred as a promoter because RAS mutant is resistant to ferroptosis.,GTPase NRas,P01111 (RASN_HUMAN),26157704,_NA_
KRAS,"KRAS proto-oncogene, GTPase",HGNC:6407,KRAS12V mutant protects RMS13 cells from ferroptotic cell death.,"Cell viability assessed by MTT assay, western blot",Human,RMS13 cells,KRAS :+: Ferroptosis,Deduced,Inferred as a promoter because RAS mutant is resistant to ferroptosis.,GTPase KRas,P01116 (RASK_HUMAN),26157704,_NA_
HRAS,"HRas proto-oncogene, GTPase",HGNC:5173,HRAS12V mutant protects RMS13 cells from ferroptotic cell death.,"Cell viability assessed by MTT assay, western blot",Human,RMS13 cells,HRAS :+: Ferroptosis,Deduced,Inferred as a promoter because RAS mutant is resistant to ferroptosis.,GTPase HRas,P01112 (RASH_HUMAN),26157704,_NA_
TF,Transferrin,HGNC:11740,Essential for the induction of ferroptotic cell death. Transferrin can only interact with transferrin receptor and be transported into the cell when it is loaded with iron.,Killing activity,Mice,Mouse embryonic fibroblasts,TF :+: Ferroptosis,Validated,_NA_,Serotransferrin,P02787 (TRFE_HUMAN),26166707,Transferrin in article
